observation_id,source_id,monitor_vendor,monitor_model,software_version,environment,cohort,club,metric,aggregation_level,sample_count,measurement_status,reported_mean,reported_sd,reported_unit,canonical_mean,canonical_sd,canonical_unit,matched_shots
857defbc7471329e9e8c2b1a,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,swing_plane,group_mean,58,reported,47.77,2.25,deg,0.8337437836776913,0.039269908169872414,rad,1
03b4e406e974831715d8509c,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,swing_plane,group_mean,58,reported,53.01,2.32,deg,0.925199036482194,0.040491638646268445,rad,1
564fd62307c9a13e9b5c4aec,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,attack_angle,group_mean,80,reported,-2.58,1.31,deg,-0.045029494701453704,0.022863813201125717,rad,1
61cd2d18f9d5491ceea1d3df,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,attack_angle,group_mean,80,reported,-5.31,1.76,deg,-0.09267698328089889,0.0307177948351002,rad,1
a63f6ea35c1cbfc5c45426d1,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,ball_speed,group_mean,80,reported,114.69,4.46,mph,51.2710176,1.9937984,m/s,1
67ce13cf76bee9d807880b7c,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,ball_speed,group_mean,80,reported,117.72,4.58,mph,52.6255488,2.0474432,m/s,1
e3729dbb9857cbb58a37bcc3,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,carry_distance,group_mean,80,reported,156.34,7.09,yd,142.957296,6.483096,m,1
04dbc00e09d2e8177dd595f1,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,carry_distance,group_mean,80,reported,158.75,8.65,yd,145.161,7.90956,m,1
bdbffb4b7968e6803fb21c85,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,total_distance,group_mean,80,reported,161.41,7.76,yd,147.593304,7.095744,m,1
e7acff6ac2fe0ec0cc3a9e7e,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,total_distance,group_mean,80,reported,161.47,9.61,yd,147.648168,8.787384,m,1
fef02c01e09d6aba9dadebc9,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,club_path,group_mean,80,reported,-2.06,2.85,deg,-0.03595378259108319,0.04974188368183839,rad,1
5d0bf2ac900652713cd7f0b4,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,club_path,group_mean,80,reported,-2.34,2.96,deg,-0.04084070449666731,0.05166174585903215,rad,1
c0a952dc995e81563d1895b7,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,club_speed,group_mean,80,reported,86.49,2.15,mph,38.664489599999996,0.961136,m/s,1
de5027d9488acc21df44c88c,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,club_speed,group_mean,80,reported,90.93,2.59,mph,40.6493472,1.1578336,m/s,1
9e36d959309cd0dd2ea4063c,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,dynamic_loft,group_mean,80,reported,26.94,2.0,deg,0.4701917004872724,0.03490658503988659,rad,1
8a5a5ed94bf5e6e6ff8f7bd9,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,dynamic_loft,group_mean,80,reported,34.71,3.24,deg,0.6058037833672318,0.056548667764616284,rad,1
b7a130b8644953e0afd94b0b,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,face_angle,group_mean,80,reported,-2.65,2.89,deg,-0.046251225177849735,0.05044001538263613,rad,1
c1d0ab78e3c7472de6275ff2,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,face_angle,group_mean,80,reported,-1.97,3.67,deg,-0.03438298626428829,0.06405358354819189,rad,1
0eb4f05215178436c7ab4f2f,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,face_to_path,group_mean,80,reported,-1.31,3.22,deg,-0.022863813201125717,0.05619960191421741,rad,1
e6ba2ee11133ece90ce9c92d,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,face_to_path,group_mean,80,reported,0.37,4.64,deg,0.006457718232379019,0.08098327729253689,rad,1
c6e1136cb75181efd291beb7,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,apex_height,group_mean,80,reported,105.68,12.7,ft,32.21126400000001,3.87096,m,1
d72730b5844921f21a527f41,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,apex_height,group_mean,80,reported,115.93,13.39,ft,35.335464,4.081272,m,1
4373fd3c7fb04dd70ff3b4c2,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,descent_angle,group_mean,80,reported,51.28,3.23,deg,0.8950048404226922,0.05637413483941684,rad,1
54bbc94755c61433d9963755,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,descent_angle,group_mean,80,reported,51.46,2.5,deg,0.898146433076282,0.04363323129985824,rad,1
b66d89a5212e50a151af08e5,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,launch_angle,group_mean,80,reported,21.37,1.47,deg,0.3729768611511882,0.025656340004316644,rad,1
3fc6d66a0573a4a2e7c18510,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,launch_angle,group_mean,80,reported,22.21,1.47,deg,0.3876376268679406,0.025656340004316644,rad,1
c7ac51462d04193fc2c876e2,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,launch_direction,group_mean,80,reported,-2.59,2.47,deg,-0.04520402762665313,0.04310963252425994,rad,1
9404b424aca5de972b963113,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,launch_direction,group_mean,80,reported,-2.1,2.7,deg,-0.03665191429188092,0.0471238898038469,rad,1
bc1d118ca35fdf3790c6641a,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,lateral_total,group_mean,80,reported,-8.64,12.66,yd,-7.900416000000001,11.576304,m,1
3ddb4e04fcb807558d36e32f,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,lateral_total,group_mean,80,reported,-5.46,10.89,yd,-4.992624,9.957816000000001,m,1
e6f9e1442a0b8d477fc7bf6b,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,smash_factor,group_mean,80,reported,1.33,0.05,1,1.33,0.05,1,1
9087613e52a0f9a75ad5a49f,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,smash_factor,group_mean,80,reported,1.29,0.05,1,1.29,0.05,1,1
30f083061512cb8263554798,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,spin_axis,group_mean,80,reported,-1.17,5.82,deg,-0.020420352248333655,0.10157816246606999,rad,1
e78e2052e5e9b81a92d90850,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,spin_axis,group_mean,80,reported,0.3,6.47,deg,0.005235987755982988,0.11292280260403312,rad,1
819ae0247f1585b3c6809e0a,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,spin_rate,group_mean,80,reported,6390.0,821.0,rpm,669.1592352146259,85.97491895324067,rad/s,1
80efb2010f1b0a40e44214cf,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,spin_rate,group_mean,80,reported,6795.0,1665.0,rpm,711.5707360380881,174.35839227423352,rad/s,1
c7fc0e2a7f494e77dab115f0,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,swing_direction,group_mean,80,reported,-3.79,3.01,deg,-0.0661479786505851,0.05253441048502932,rad,1
1c7e406adb85b5fed5d1ad53,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,swing_direction,group_mean,80,reported,-5.34,3.31,deg,-0.0932005820564972,0.05777039824101231,rad,1
e4924b921a31297a3282592f,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,7-Iron,swing_plane,group_mean,80,reported,58.36,2.52,deg,1.0185741514638906,0.0439822971502571,rad,1
