source_id,club,sample_count,metric,source_unit,trackman_mean,trackman_sd,trackman_min,trackman_max,flightscope_mean,flightscope_sd,flightscope_min,flightscope_max,mean_difference_trackman_minus_flightscope,sd_difference,mape_percent,icc_consistency,icc_absolute,pearson_r,measurement_status,environment,software_version
bliss_langdown_2026,Pitching Wedge,69,attack_angle,deg,-3.29,1.17,-6.70,-0.20,-7.18,2.07,-11.00,-1.90,3.91,2.36,118.84,0.03,0.01,0.02,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,ball_speed,mph,92.10,5.26,76.80,104.62,95.75,5.44,79.30,108.30,-3.62,0.80,3.93,0.995,0.89,0.99,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,carry_distance,yd,114.17,7.17,91.50,130.47,116.83,7.31,94.00,133.30,-2.66,1.19,2.33,0.993,0.96,0.99,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,total_distance,yd,116.61,6.95,96.17,136.48,117.80,7.00,97.40,140.40,-1.13,1.64,0.97,0.99,0.98,0.97,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,club_path,deg,-1.77,2.85,-9.00,4.50,-0.93,2.84,-6.20,6.10,-0.87,2.37,49.15,0.78,0.77,0.65,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,club_speed,mph,77.64,3.95,68.48,84.74,81.00,4.30,71.30,89.20,-3.36,1.40,4.33,0.97,0.83,0.95,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,dynamic_loft,deg,35.57,2.61,25.97,41.91,45.25,3.77,27.00,51.00,-9.66,2.22,27.16,0.87,0.25,0.82,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,face_angle,deg,-3.72,2.92,-9.76,1.47,-3.15,3.75,-10.60,4.80,-0.55,1.74,14.79,0.93,0.92,0.89,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,face_to_path,deg,-1.89,3.17,-8.24,5.51,-2.22,4.18,-13.00,6.20,0.37,2.64,19.58,0.85,0.85,0.77,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,apex_height,ft,83.30,12.05,60.85,113.65,94.77,13.38,65.20,123.20,-11.38,3.51,13.66,0.98,0.81,0.97,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,descent_angle,deg,51.14,3.20,43.96,57.75,52.39,2.50,46.00,56.30,-1.26,1.07,2.46,0.96,0.92,0.96,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,launch_angle,deg,26.80,2.16,18.53,31.41,27.90,2.17,19.40,32.30,-1.10,0.61,4.10,0.98,0.92,0.96,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,launch_direction,deg,-3.25,2.54,-8.66,1.77,-2.41,2.86,-7.80,3.30,-0.84,1.44,25.84,0.93,0.90,0.87,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,lateral_total,yd,-8.40,6.96,-21.96,3.89,-5.89,7.35,-20.00,10.30,-2.45,3.25,29.17,0.95,0.92,0.90,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,smash_factor,1,1.19,0.05,1.05,1.26,1.18,0.05,1.06,1.29,0.00,0.02,0.00,0.93,0.93,0.88,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,spin_axis,deg,-2.11,3.68,-10.11,7.80,-2.24,4.46,-12.00,7.70,0.17,2.68,8.06,0.88,0.88,0.79,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,spin_rate,rpm,8031,886,5186,9909,8016,891,5193,10021,14,37,0.17,1.00,0.999,1.00,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,swing_direction,deg,-3.79,3.06,-10.82,2.49,-4.56,2.91,-10.10,2.50,0.75,2.50,0.20,0.78,0.77,0.64,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Pitching Wedge,69,swing_plane,deg,60.42,3.44,45.61,69.86,63.15,2.68,57.00,68.20,-2.80,3.38,0.05,0.55,0.43,0.39,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
